Individual_SRR,Individual_ID,Time_point,Parasites_ul_actual_b_o_a,Parasites_ul_actual_o,Parasites_ul_actual_b_o,Parasites_ul_actual_2b_b_o,Percent_Parasitemia_gene,Macaca_Reads_Mapped_gene,Macaca_ratio_gene,Plasmodium_Reads_Mapped_gene,Plasmodium_ratio_gene,Total_Reads_gene,Percent_Parasitemia_exon,Macaca_Reads_Mapped_exon,Macaca_ratio_exon,Plasmodium_Reads_Mapped_exon,Plasmodium_ratio_exon,Total_Reads_exon
SRR5632696,RFa14,1,0,0,0,0,0.0003,54948720,0.999672129,18022,0.000327871,54966742,0.000372032,46342727,0.999628106,17241,0.000371894,46359968
SRR5632697,RFv13,1,0,0,0,0,0.0003,49396052,0.999738792,12906,0.000261208,49408958,0.000284458,43331500,0.999715623,12326,0.000284377,43343826
SRR5632698,RIc14,1,0,0,0,0,0.0004,40004725,0.999603679,15861,0.000396321,40020586,0.000418967,36327407,0.999581208,15220,0.000418792,36342627
SRR5632699,RMe14,1,0,0,0,0,0.0003,105012469,0.999708339,30637,0.000291661,105043106,0.000313767,94407692,0.999686332,29622,0.000313668,94437314
SRR5632700,RSb14,1,0,0,0,0,0.0004,56408577,0.999621619,21352,0.000378381,56429929,0.000413701,49741198,0.99958647,20578,0.00041353,49761776
SRR5632701,RFa14,2,398,70,597,126778,7.4496,4064159,0.118349118,30276266,0.881650882,34340425,9.646020442,3071635,0.093931813,29629054,0.906068187,32700689
SRR5632702,RIc14,2,156389,145948,207955,240516,0.3824,8261280,0.723359708,3159428,0.276640292,11420708,0.40798117,7589664,0.710236771,3096440,0.289763229,10686104
SRR5632703,RMe14,2,190121,227105,268235,241564,4.0992,5759165,0.196110524,23607770,0.803889476,29366935,4.861282675,4758180,0.17061112,23130858,0.82938888,27889038
SRR5632704,RSb14,2,174727,182004,227756,190562,0.3905,26901625,0.719170623,10504832,0.280829377,37406457,0.421421579,24424549,0.703521049,10293032,0.296478951,34717581
SRR5632705,RFa14,3,21664,140,32496,24566,0.3595,25715379,0.735562226,9244789,0.264437774,34960168,0.376387178,24144882,0.726539753,9087824,0.273460247,33232706
SRR5632706,RFv13,3,NA,NA,NA,NA,0.0091,8542077,0.991005045,77533,0.008994955,8619610,0.010306875,7357807,0.989798273,75836,0.010201727,7433643
SRR5632707,RIc14,3,4780,0,7170,48458,0.2499,17305616,0.800044381,4325204,0.199955619,21630820,0.254070945,16602166,0.797403053,4218128,0.202596947,20820294
SRR5632708,RMe14,3,94,0,141,107,0.0033,54836335,0.996718063,180562,0.003281937,55016897,0.003381397,52013411,0.996629998,175878,0.003370002,52189289
SRR5632709,RSb14,3,21576,0,32364,67382,0.2071,51396291,0.8284292,10644365,0.1715708,62040656,0.210458706,49564545,0.826133097,10431290,0.173866903,59995835
SRR5632710,RFa14,4,0,0,0,0,0.0087,42408378,0.991418328,367085,0.008581672,42775463,0.009907281,36361943,0.99018991,360248,0.00981009,36722191
SRR5632711,RIc14,4,43,27,13,9,0.0003,27726377,0.999736241,7315,0.000263759,27733692,0.000284376,24675065,0.999715705,7017,0.000284295,24682082
SRR5632712,RMe14,4,0,0,0,0,0.0005,20675932,0.999532283,9675,0.000467717,20685607,0.000523891,17860594,0.999476384,9357,0.000523616,17869951
SRR5632713,RSb14,4,0,0,0,0,0.137,28123722,0.879508216,3852923,0.120491784,31976645,0.152096347,24852418,0.867982962,3779962,0.132017038,28632380
SRR5632714,RFa14,5,0,0,0,0,0.0002,70508756,0.999786483,15058,0.000213517,70523814,0.000234744,61739517,0.999765311,14493,0.000234689,61754010
SRR5632715,RIc14,5,27,23,40,38,0.0005,27195778,0.999486397,13975,0.000513603,27209753,0.000564186,23995648,0.999436132,13538,0.000563868,24009186
SRR5632716,RMe14,5,0,0,0,0,0.0004,43677428,0.999640355,15714,0.000359645,43693142,0.000398095,38066260,0.999602063,15154,0.000397937,38081414
SRR5632717,RFa14,6,0,0,0,0,0.0004,61510264,0.999633188,22571,0.000366812,61532835,0.000405582,53816534,0.999594583,21827,0.000405417,53838361
SRR5632718,RIc14,6,6,0,9,51,0.0003,50081023,0.999675811,16241,0.000324189,50097264,0.000341447,45828515,0.99965867,15648,0.00034133,45844163
SRR5632719,RMe14,6,84,53,127,1653,0.0007,43008297,0.999329138,28872,0.000670862,43037169,0.000708809,39450688,0.999291693,27963,0.000708307,39478651
SRR5632720,RSb14,6,257,159,99,66,0.0313,25531033,0.969606147,800311,0.030393853,26331344,0.035305904,22154000,0.965898094,782167,0.034101906,22936167
SRR5632721,RFa14,7,184,251,151,101,0.0227,63316348,0.977793254,1437983,0.022206746,64754331,0.025083767,56210935,0.975530032,1409982,0.024469968,57620917
SRR5632722,RIc14,7,0,0,0,0,0.0004,49665213,0.999609336,19410,0.000390664,49684623,0.000406494,45946508,0.999593671,18677,0.000406329,45965185
SRR5632723,RMe14,7,0,0,0,0,0.0008,113125647,0.999241323,85891,0.000758677,113211538,0.00083765,99902110,0.999163051,83683,0.000836949,99985793
SRR5632724,RSb14,7,0,0,0,0,0.0003,48070498,0.999706309,14122,0.000293691,48084620,0.000318041,42588797,0.99968206,13545,0.00031794,42602342
SRR5632725,CF97_donor,NA,NA,NA,NA,NA,0.0002,49618578,0.999753983,12210,0.000246017,49630788,0.000252234,46397304,0.999747829,11703,0.000252171,46409007